Alloc,B,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,625,0.910584976807827,2,pdisp,32,78,1800000,7220,479472,475106,0.7,0.1,30
queue,625,1.33141716699514,2,pdisp,32,78,1800000,14655,481517,475106,0.7,0.1,50
queue,625,2.16990223291135,2,pdisp,32,78,1800000,16656,485644,475106,0.7,0.1,70
queue,625,1.32977784423551,2,pdisp,32,78,1800000,24155,481509,475106,0.7,0.1,90
queue,625,3.36342297850876,2,pdisp,32,78,1800000,2721,491642,475106,0.9,0.1,10
queue,625,1.38384674940273,2,pdisp,32,78,1800000,8480,481773,475106,0.9,0.1,30
queue,625,1.52080142110053,2,pdisp,32,78,1800000,13616,482443,475106,0.9,0.1,50
queue,625,1.75844171956742,2,pdisp,32,78,1800000,19446,483610,475106,0.9,0.1,70
queue,625,2.19628428799341,2,pdisp,32,78,1800000,24602,485775,475106,0.9,0.1,90
queue,625,3.69837357505391,2,pdisp,32,78,1800000,3589,493352,475106,0.1,0.3,10
queue,625,3.64857218762231,2,pdisp,32,78,1800000,7727,493097,475106,0.1,0.3,30
queue,625,3.4792536852541,2,pdisp,32,78,1800000,11899,492232,475106,0.1,0.3,50
queue,625,1.89172501946241,2,pdisp,32,78,1800000,16908,484267,475106,0.1,0.3,70
queue,625,2.78763325353467,2,pdisp,32,78,1800000,23913,488730,475106,0.1,0.3,90
queue,625,2.50175970711907,2,pdisp,32,78,1800000,2922,487297,475106,0.3,0.3,10
queue,625,3.42961793084664,2,pdisp,32,78,1800000,8416,491979,475106,0.3,0.3,30
queue,625,1.38200446691741,2,pdisp,32,78,1800000,15267,481764,475106,0.3,0.3,50
queue,625,2.02868784849385,2,pdisp,32,78,1800000,18630,484944,475106,0.3,0.3,70
queue,625,2.41745331460167,2,pdisp,32,78,1800000,23813,486876,475106,0.3,0.3,90
queue,625,1.90914477664018,2,pdisp,32,78,1800000,3813,484353,475106,0.5,0.3,10
queue,625,4.56863599751733,2,pdisp,32,78,1800000,8259,497851,475106,0.5,0.3,30
queue,625,2.50696150191967,2,pdisp,32,78,1800000,14267,487323,475106,0.5,0.3,50
queue,625,1.78727943243645,2,pdisp,32,78,1800000,16535,483752,475106,0.5,0.3,70
queue,625,2.85044760615566,2,pdisp,32,78,1800000,23444,489046,475106,0.5,0.3,90
queue,625,4.88235070361347,2,pdisp,32,78,1800000,3657,499493,475106,0.7,0.3,10
queue,625,2.22647527910685,2,pdisp,32,78,1800000,9520,485925,475106,0.7,0.3,30
queue,625,3.50787403173984,2,pdisp,32,78,1800000,13391,492378,475106,0.7,0.3,50
queue,625,1.20215352047363,2,pdisp,32,78,1800000,28015,480887,475106,0.7,0.3,70
queue,625,1.61929570990172,2,pdisp,32,78,1800000,22231,482926,475106,0.7,0.3,90
queue,625,2.29684849108015,2,pdisp,32,78,1800000,2560,486275,475106,0.9,0.3,10
queue,625,2.30950491222154,2,pdisp,32,78,1800000,7922,486338,475106,0.9,0.3,30
queue,625,2.18359851105182,2,pdisp,32,78,1800000,12597,485712,475106,0.9,0.3,50
queue,625,1.16865394696333,2,pdisp,32,78,1800000,16454,480724,475106,0.9,0.3,70
queue,625,0.827850510987915,2,pdisp,32,78,1800000,19698,479072,475106,0.9,0.3,90
queue,625,4.02461269945801,2,pdisp,32,78,1800000,2996,495029,475106,0.1,0.5,10
queue,625,0.936824305305062,2,pdisp,32,78,1800000,7331,479599,475106,0.1,0.5,30
queue,625,1.35579566311488,2,pdisp,32,78,1800000,12358,481636,475106,0.1,0.5,50
queue,625,2.05090567235813,2,pdisp,32,78,1800000,17681,485054,475106,0.1,0.5,70
queue,625,3.01999791794668,2,pdisp,32,78,1800000,24666,489901,475106,0.1,0.5,90
queue,625,5.80470435223957,2,pdisp,32,78,1800000,3567,504384,475106,0.3,0.5,10
queue,625,1.76575429136187,2,pdisp,32,78,1800000,9892,483646,475106,0.3,0.5,30
queue,625,3.10346445098435,2,pdisp,32,78,1800000,14703,490323,475106,0.3,0.5,50
queue,625,0.316816892424931,2,pdisp,32,78,1800000,21951,476616,475106,0.3,0.5,70
queue,625,2.5077617287776,2,pdisp,32,78,1800000,25155,487327,475106,0.3,0.5,90
queue,625,6.19785270622983,2,pdisp,32,78,1800000,3041,506498,475106,0.5,0.5,10
queue,625,2.66614766860608,2,pdisp,32,78,1800000,8016,488120,475106,0.5,0.5,30
queue,625,1.421905182806,2,pdisp,32,78,1800000,12325,481959,475106,0.5,0.5,50
queue,625,2.71577434276131,2,pdisp,32,78,1800000,19402,488369,475106,0.5,0.5,70
queue,625,3.29182255260769,2,pdisp,32,78,1800000,25890,491278,475106,0.5,0.5,90
queue,625,4.88311241108556,2,pdisp,32,78,1800000,2908,499497,475106,0.7,0.5,10
