group1,group2,meandiff,p-adj,lower,upper
0.7_70,0.9_90,5644.6,0.001,3255.4361,8033.7639
0.7_90,0.9_10,-19776.14,0.001,-22165.3039,-17386.9761
0.7_90,0.9_30,-14760.62,0.001,-17149.7839,-12371.4561
0.7_90,0.9_50,-9709.38,0.001,-12098.5439,-7320.2161
0.7_90,0.9_70,-4775.68,0.001,-7164.8439,-2386.5161
0.9_10,0.9_30,5015.52,0.001,2626.3561,7404.6839
0.9_10,0.9_50,10066.76,0.001,7677.5961,12455.9239
0.9_10,0.9_70,15000.46,0.001,12611.2961,17389.6239
0.9_10,0.9_90,20902.76,0.001,18513.5961,23291.9239
0.9_30,0.9_50,5051.24,0.001,2662.0761,7440.4039
0.9_30,0.9_70,9984.94,0.001,7595.7761,12374.1039
0.9_30,0.9_90,15887.24,0.001,13498.0761,18276.4039
0.9_50,0.9_70,4933.7,0.001,2544.5361,7322.8639
0.9_50,0.9_90,10836.0,0.001,8446.8361,13225.1639
0.9_70,0.9_90,5902.3,0.001,3513.1361,8291.4639
0.1_10,0.1_30,5130.08,0.001,2746.3073,7513.8527
0.1_10,0.1_50,10436.04,0.001,8052.2673,12819.8127
0.1_10,0.1_70,15225.22,0.001,12841.4473,17608.9927
0.1_10,0.1_90,20439.24,0.001,18055.4673,22823.0127
0.1_10,0.3_30,4604.44,0.001,2220.6673,6988.2127
0.1_10,0.3_50,9722.1,0.001,7338.3273,12105.8727
0.1_10,0.3_70,14828.18,0.001,12444.4073,17211.9527
0.1_10,0.3_90,19168.04,0.001,16784.2673,21551.8127
0.1_10,0.5_30,4657.62,0.001,2273.8473,7041.3927
0.1_10,0.5_50,9550.14,0.001,7166.3673,11933.9127
0.1_10,0.5_70,15163.28,0.001,12779.5073,17547.0527
0.1_10,0.5_90,19710.6,0.001,17326.8273,22094.3727
0.1_10,0.7_30,5228.12,0.001,2844.3473,7611.8927
0.1_10,0.7_50,10397.66,0.001,8013.8873,12781.4327
0.1_10,0.7_70,15405.52,0.001,13021.7473,17789.2927
0.1_10,0.7_90,20854.38,0.001,18470.6073,23238.1527
0.1_10,0.9_30,5039.52,0.001,2655.7473,7423.2927
0.1_10,0.9_50,10296.42,0.001,7912.6473,12680.1927
0.1_10,0.9_70,14670.26,0.001,12286.4873,17054.0327
0.1_10,0.9_90,20079.64,0.001,17695.8673,22463.4127
0.1_30,0.1_50,5305.96,0.001,2922.1873,7689.7327
0.1_30,0.1_70,10095.14,0.001,7711.3673,12478.9127
0.1_30,0.1_90,15309.16,0.001,12925.3873,17692.9327
0.1_30,0.3_10,-5355.44,0.001,-7739.2127,-2971.6673
0.1_30,0.3_50,4592.02,0.001,2208.2473,6975.7927
0.1_30,0.3_70,9698.1,0.001,7314.3273,12081.8727
0.1_30,0.3_90,14037.96,0.001,11654.1873,16421.7327
0.1_30,0.5_10,-5319.38,0.001,-7703.1527,-2935.6073
0.1_30,0.5_50,4420.06,0.001,2036.2873,6803.8327
0.1_30,0.5_70,10033.2,0.001,7649.4273,12416.9727
0.1_30,0.5_90,14580.52,0.001,12196.7473,16964.2927
0.1_30,0.7_10,-5133.44,0.001,-7517.2127,-2749.6673
0.1_30,0.7_50,5267.58,0.001,2883.8073,7651.3527
0.1_30,0.7_70,10275.44,0.001,7891.6673,12659.2127
0.1_30,0.7_90,15724.3,0.001,13340.5273,18108.0727
0.1_30,0.9_10,-5211.88,0.001,-7595.6527,-2828.1073
0.1_30,0.9_50,5166.34,0.001,2782.5673,7550.1127
0.1_30,0.9_70,9540.18,0.001,7156.4073,11923.9527
0.1_30,0.9_90,14949.56,0.001,12565.7873,17333.3327
0.1_50,0.1_70,4789.18,0.001,2405.4073,7172.9527
0.1_50,0.1_90,10003.2,0.001,7619.4273,12386.9727
0.1_50,0.3_10,-10661.4,0.001,-13045.1727,-8277.6273
0.1_50,0.3_30,-5831.6,0.001,-8215.3727,-3447.8273
0.1_50,0.3_70,4392.14,0.001,2008.3673,6775.9127
0.1_50,0.3_90,8732.0,0.001,6348.2273,11115.7727
0.1_50,0.5_10,-10625.34,0.001,-13009.1127,-8241.5673
0.1_50,0.5_30,-5778.42,0.001,-8162.1927,-3394.6473
0.1_50,0.5_70,4727.24,0.001,2343.4673,7111.0127
0.1_50,0.5_90,9274.56,0.001,6890.7873,11658.3327
0.1_50,0.7_10,-10439.4,0.001,-12823.1727,-8055.6273
0.1_50,0.7_30,-5207.92,0.001,-7591.6927,-2824.1473
0.1_50,0.7_70,4969.48,0.001,2585.7073,7353.2527
0.1_50,0.7_90,10418.34,0.001,8034.5673,12802.1127
0.1_50,0.9_10,-10517.84,0.001,-12901.6127,-8134.0673
0.1_50,0.9_30,-5396.52,0.001,-7780.2927,-3012.7473
0.1_50,0.9_70,4234.22,0.001,1850.4473,6617.9927
0.1_50,0.9_90,9643.6,0.001,7259.8273,12027.3727
0.1_70,0.1_90,5214.02,0.001,2830.2473,7597.7927
0.1_70,0.3_10,-15450.58,0.001,-17834.3527,-13066.8073
0.1_70,0.3_30,-10620.78,0.001,-13004.5527,-8237.0073
0.1_70,0.3_50,-5503.12,0.001,-7886.8927,-3119.3473
0.1_70,0.3_90,3942.82,0.001,1559.0473,6326.5927
0.1_70,0.5_10,-15414.52,0.001,-17798.2927,-13030.7473
0.1_70,0.5_30,-10567.6,0.001,-12951.3727,-8183.8273
0.1_70,0.5_50,-5675.08,0.001,-8058.8527,-3291.3073
0.1_70,0.5_90,4485.38,0.001,2101.6073,6869.1527
0.1_70,0.7_10,-15228.58,0.001,-17612.3527,-12844.8073
0.1_70,0.7_30,-9997.1,0.001,-12380.8727,-7613.3273
0.1_70,0.7_50,-4827.56,0.001,-7211.3327,-2443.7873
