instance_id,instance_number,method,B,S,P,init_time,phase2_time,repair_time,ls_time,total_time,phase2_obj,split_resolved_obj,post_repair_obj,post_ls_obj,num_split_bus,prop_split_bus,activity_violations_initial,risk_violations_initial,remaining_violations,ls_iterations,total_ls_improvement,successful_moves_simple,successful_moves_interchange,successful_moves_deactivate,status,error_message
inst_15_first_instance_set_medium_2000_400_30,15,multi_p_median,2000,400,30,259.55000019073486,6.309000015258789,0.018000125885009766,4.961000204086304,270.8910000324249,1.434753861705077e6,1.43446e6,1.43497e6,1.412051e6,78,0.039,0,1,0,3,22919.0,2,2,0,success,
inst_15_first_instance_set_medium_2000_400_30,15,multi_p_median_benders,2000,400,30,152.00400018692017,5.849999904632568,0.01900005340576172,4.63100004196167,162.53400015830994,1.434753861705077e6,1.43446e6,1.43497e6,1.412051e6,78,0.039,0,1,0,3,22919.0,2,2,0,success,
inst_16_first_instance_set_medium_2000_400_30,16,relaxed,2000,400,30,307.9869999885559,7.003000020980835,0.01699995994567871,12.08899998664856,327.13899993896484,2.637352386976269e6,2.632326e6,2.637516e6,2.392484e6,85,0.0425,0,4,0,5,245032.0,4,3,1,success,
inst_16_first_instance_set_medium_2000_400_30,16,pdisp,2000,400,30,0.0019998550415039062,5.074000120162964,0.010999917984008789,49.46500015258789,54.57499980926514,2.787244775907439e6,2.790435e6,2.793718e6,1.938234e6,84,0.042,0,3,0,7,855484.0,6,6,4,success,
inst_16_first_instance_set_medium_2000_400_30,16,multi_pdp,2000,400,30,300.4210000038147,6.476999998092651,0.01699995994567871,16.256999969482422,323.19599986076355,1.8470700908765516e6,1.845363e6,1.846417e6,1.630226e6,83,0.0415,0,1,0,4,216191.0,3,2,1,success,
inst_16_first_instance_set_medium_2000_400_30,16,multi_p_median,2000,400,30,235.5920000076294,6.289999961853027,0.006999969482421875,7.104000091552734,249.02099990844727,1.4374609198281262e6,1.435624e6,1.436566e6,1.406116e6,77,0.0385,0,1,0,4,30450.0,3,2,0,success,
inst_16_first_instance_set_medium_2000_400_30,16,multi_p_median_benders,2000,400,30,117.11100006103516,5.690000057220459,0.020999908447265625,6.815999984741211,129.65900015830994,1.4374609198281262e6,1.435624e6,1.436566e6,1.406116e6,77,0.0385,0,1,0,4,30450.0,3,2,0,success,
inst_17_first_instance_set_medium_2000_400_30,17,relaxed,2000,400,30,307.8289999961853,7.0299999713897705,0.026000022888183594,77.71499991416931,392.63700008392334,2.5624051659364384e6,2.560825e6,2.564834e6,1.803104e6,84,0.042,0,2,0,6,761730.0,5,5,4,success,
inst_17_first_instance_set_medium_2000_400_30,17,pdisp,2000,400,30,0.0019998550415039062,5.522000074386597,0.021000146865844727,47.40399980545044,52.96799993515015,2.735892195848897e6,2.736555e6,2.736666e6,1.785861e6,84,0.042,0,2,0,5,950805.0,4,4,3,success,
inst_17_first_instance_set_medium_2000_400_30,17,multi_pdp,2000,400,30,300.404000043869,6.66700005531311,0.0070002079010009766,21.35599994659424,328.4940001964569,1.8847998821137676e6,1.883978e6,1.883978e6,1.59238e6,81,0.0405,0,0,0,4,291598.0,3,3,2,success,
