instance,threads,milliseconds,value
inst_1_1250_155_62.jld2,12,79407,1014375
inst_1_1250_155_62.jld2,13,73530,1010948
inst_1_1250_155_62.jld2,14,73394,1026603
inst_1_1250_155_62.jld2,15,79880,1028572
inst_1_1250_155_62.jld2,16,79132,1024793
inst_20_1250_155_62.jld2,1,406092,1054105
inst_20_1250_155_62.jld2,2,297047,1058858
inst_20_1250_155_62.jld2,3,187678,1049390
inst_20_1250_155_62.jld2,4,168239,1053219
inst_20_1250_155_62.jld2,5,129872,1062942
inst_20_1250_155_62.jld2,6,132536,1065298
inst_20_1250_155_62.jld2,7,107552,1057429
inst_20_1250_155_62.jld2,8,104751,1060675
inst_20_1250_155_62.jld2,9,93724,1057570
inst_20_1250_155_62.jld2,10,91193,1056809
inst_20_1250_155_62.jld2,11,87166,1046077
inst_20_1250_155_62.jld2,12,88929,1067293
inst_20_1250_155_62.jld2,13,81033,1067257
inst_20_1250_155_62.jld2,14,81413,1058660
inst_20_1250_155_62.jld2,15,81531,1056329
inst_20_1250_155_62.jld2,16,93700,1040387
inst_2_1250_155_62.jld2,1,355751,1046014
inst_2_1250_155_62.jld2,2,286050,1046795
inst_2_1250_155_62.jld2,3,185288,1053285
inst_2_1250_155_62.jld2,4,168264,1052286
inst_2_1250_155_62.jld2,5,127652,1035781
inst_2_1250_155_62.jld2,6,121800,1042830
inst_2_1250_155_62.jld2,7,106039,1041030
inst_2_1250_155_62.jld2,8,98892,1051743
inst_2_1250_155_62.jld2,9,92936,1054604
inst_2_1250_155_62.jld2,10,85139,1049178
inst_2_1250_155_62.jld2,11,84832,1043487
inst_2_1250_155_62.jld2,12,82796,1047038
inst_2_1250_155_62.jld2,13,75309,1047387
inst_2_1250_155_62.jld2,14,79179,1050475
inst_2_1250_155_62.jld2,15,80881,1044267
inst_2_1250_155_62.jld2,16,82031,1054883
inst_3_1250_155_62.jld2,1,396639,1082270
inst_3_1250_155_62.jld2,2,318646,1068871
inst_3_1250_155_62.jld2,3,204534,1077074
inst_3_1250_155_62.jld2,4,190838,1081464
inst_3_1250_155_62.jld2,5,139640,1071998
inst_3_1250_155_62.jld2,6,132454,1082406
inst_3_1250_155_62.jld2,7,114587,1080862
inst_3_1250_155_62.jld2,8,109026,1077511
inst_3_1250_155_62.jld2,9,98072,1082544
inst_3_1250_155_62.jld2,10,95388,1082345
inst_3_1250_155_62.jld2,11,90580,1077327
inst_3_1250_155_62.jld2,12,93654,1086806
inst_3_1250_155_62.jld2,13,83857,1071304
inst_3_1250_155_62.jld2,14,85051,1084980
inst_3_1250_155_62.jld2,15,84584,1085900
inst_3_1250_155_62.jld2,16,89570,1074230
inst_4_1250_155_62.jld2,1,393538,1056060
inst_4_1250_155_62.jld2,2,310395,1048179
inst_4_1250_155_62.jld2,3,201787,1045246
inst_4_1250_155_62.jld2,4,184084,1057443
inst_4_1250_155_62.jld2,5,137514,1051006
inst_4_1250_155_62.jld2,6,128299,1040573
inst_4_1250_155_62.jld2,7,108370,1051817
inst_4_1250_155_62.jld2,8,108717,1059103
inst_4_1250_155_62.jld2,9,98853,1052788
inst_4_1250_155_62.jld2,10,95307,1046688
inst_4_1250_155_62.jld2,11,88563,1051863
inst_4_1250_155_62.jld2,12,91700,1045118
inst_4_1250_155_62.jld2,13,81366,1047266
inst_4_1250_155_62.jld2,14,87967,1046693
inst_4_1250_155_62.jld2,15,88345,1050457
inst_4_1250_155_62.jld2,16,86829,1052921
inst_5_1250_155_62.jld2,1,307106,1050881
inst_5_1250_155_62.jld2,2,260589,1027896
inst_5_1250_155_62.jld2,3,162754,1038917
inst_5_1250_155_62.jld2,4,149647,1047703
inst_5_1250_155_62.jld2,5,113532,1031086
inst_5_1250_155_62.jld2,6,110161,1036193
inst_5_1250_155_62.jld2,7,96648,1036135
inst_5_1250_155_62.jld2,8,90118,1038032
inst_5_1250_155_62.jld2,9,81997,1044720
inst_5_1250_155_62.jld2,10,77578,1034472
inst_5_1250_155_62.jld2,11,75674,1039078
inst_5_1250_155_62.jld2,12,76264,1028474
inst_5_1250_155_62.jld2,13,69970,1022296
inst_5_1250_155_62.jld2,14,70347,1048213
inst_5_1250_155_62.jld2,15,73332,1027075
inst_5_1250_155_62.jld2,16,72487,1048039
inst_6_1250_155_62.jld2,1,354459,1037326
inst_6_1250_155_62.jld2,2,290170,1034743
inst_6_1250_155_62.jld2,3,179812,1027169
inst_6_1250_155_62.jld2,4,174937,1023725
inst_6_1250_155_62.jld2,5,125929,1027713
inst_6_1250_155_62.jld2,6,121027,1037355
inst_6_1250_155_62.jld2,7,103130,1031895
inst_6_1250_155_62.jld2,8,99427,1045596
inst_6_1250_155_62.jld2,9,92307,1027910
inst_6_1250_155_62.jld2,10,85648,1031366
inst_6_1250_155_62.jld2,11,80770,1035773
inst_6_1250_155_62.jld2,12,79855,1033603
inst_6_1250_155_62.jld2,13,74740,1031600
inst_6_1250_155_62.jld2,14,75455,1027759
inst_6_1250_155_62.jld2,15,77106,1037835
inst_6_1250_155_62.jld2,16,86133,1028778
inst_7_1250_155_62.jld2,1,356975,1029598
inst_7_1250_155_62.jld2,2,293953,1042598
inst_7_1250_155_62.jld2,3,184522,1046717
inst_7_1250_155_62.jld2,4,164501,1045662
inst_7_1250_155_62.jld2,5,132492,1053212
inst_7_1250_155_62.jld2,6,121757,1033777
inst_7_1250_155_62.jld2,7,104500,1047036
inst_7_1250_155_62.jld2,8,104134,1048867
inst_7_1250_155_62.jld2,9,90597,1033298
inst_7_1250_155_62.jld2,10,85716,1036411
inst_7_1250_155_62.jld2,11,84670,1030888
inst_7_1250_155_62.jld2,12,81613,1045480
inst_7_1250_155_62.jld2,13,76947,1038102
inst_7_1250_155_62.jld2,14,77218,1048520
inst_7_1250_155_62.jld2,15,79506,1039209
inst_7_1250_155_62.jld2,16,79111,1042676
inst_8_1250_155_62.jld2,1,334556,1059615
inst_8_1250_155_62.jld2,2,276817,1057792
inst_8_1250_155_62.jld2,3,188187,1054263
inst_8_1250_155_62.jld2,4,158277,1064961
inst_8_1250_155_62.jld2,5,121261,1059466
inst_8_1250_155_62.jld2,6,115359,1050137
inst_8_1250_155_62.jld2,7,105348,1062938
inst_8_1250_155_62.jld2,8,104273,1050124
inst_8_1250_155_62.jld2,9,88760,1064103
inst_8_1250_155_62.jld2,10,81745,1059712
inst_8_1250_155_62.jld2,11,79221,1040496
inst_8_1250_155_62.jld2,12,78645,1054523
inst_8_1250_155_62.jld2,13,72818,1059313
inst_8_1250_155_62.jld2,14,74743,1056965
inst_8_1250_155_62.jld2,15,76512,1058495
inst_8_1250_155_62.jld2,16,76845,1059781
inst_9_1250_155_62.jld2,1,357594,1017398
inst_9_1250_155_62.jld2,2,287574,1004557
inst_9_1250_155_62.jld2,3,189715,1019292
inst_9_1250_155_62.jld2,4,169803,1012651
inst_9_1250_155_62.jld2,5,127622,1025972
inst_9_1250_155_62.jld2,6,121123,1016368
inst_9_1250_155_62.jld2,7,102137,1018559
inst_9_1250_155_62.jld2,8,99958,1035304
inst_9_1250_155_62.jld2,9,93957,1032310
inst_9_1250_155_62.jld2,10,85975,1027608
inst_9_1250_155_62.jld2,11,83820,1028971
inst_9_1250_155_62.jld2,12,85063,1019226
inst_9_1250_155_62.jld2,13,75920,1021370
inst_9_1250_155_62.jld2,14,77423,1019667
inst_9_1250_155_62.jld2,15,81405,1031797
inst_9_1250_155_62.jld2,16,81175,1015371
