Alloc,B,BeatGurobi,BestBound,Diff%,Gap%,ID,Loc,P,S,TimeOptim,TotalTimeGRASP,ValueGRASP,ValueOptim,alpha_a,alpha_l,iters
queue,625,false,466413.292,0.07955939480678798,0.08306211565984616,11,pdisp,32,78,1800,11732,508664,468195,0.5,0.1,75
queue,625,false,466413.292,0.088007620145858,0.09147819142305053,11,pdisp,32,78,1800,14330,513376,468195,0.5,0.1,100
queue,625,false,466413.292,0.10058322479512212,0.10400593982564726,11,pdisp,32,78,1800,4017,520554,468195,0.7,0.1,25
queue,625,false,466413.292,0.08944074494733403,0.0929058624928041,11,pdisp,32,78,1800,7218,514184,468195,0.7,0.1,50
queue,625,false,466413.292,0.07905244854283376,0.08255709857115878,11,pdisp,32,78,1800,10454,508384,468195,0.7,0.1,75
queue,625,false,466413.292,0.0741864934982757,0.07770966083462522,11,pdisp,32,78,1800,16195,505712,468195,0.7,0.1,100
queue,625,false,466413.292,0.05111892958911106,0.05472988014219178,11,pdisp,32,78,1800,3848,493418,468195,0.1,0.3,25
queue,625,false,466413.292,0.0907387195631149,0.09419889768856397,11,pdisp,32,78,1800,6971,514918,468195,0.1,0.3,50
queue,625,false,466413.292,0.07085915685819238,0.07439498631675663,11,pdisp,32,78,1800,9838,503901,468195,0.1,0.3,75
queue,625,false,466413.292,0.07378356136199979,0.07730826204964665,11,pdisp,32,78,1800,13272,505492,468195,0.1,0.3,100
queue,625,false,466413.292,0.09534703530734763,0.09878967656668744,11,pdisp,32,78,1800,4299,517541,468195,0.3,0.3,25
queue,625,false,466413.292,0.06291468269455937,0.0664807447125767,11,pdisp,32,78,1800,7610,499629,468195,0.3,0.3,50
queue,625,false,466413.292,0.08091995359401041,0.08441749686406222,11,pdisp,32,78,1800,10289,509417,468195,0.3,0.3,75
queue,625,false,466413.292,0.06473605778642515,0.06829518859293407,11,pdisp,32,78,1800,14503,500602,468195,0.3,0.3,100
queue,625,false,466413.292,0.06744838245780369,0.0709971915595409,11,pdisp,32,78,1800,3632,502058,468195,0.5,0.3,25
queue,625,false,466413.292,0.041132221537276845,0.04478117633566052,11,pdisp,32,78,1800,7879,488279,468195,0.5,0.3,50
queue,625,false,466413.292,0.043076331930566085,0.046717888450367964,11,pdisp,32,78,1800,11204,489271,468195,0.5,0.3,75
queue,625,false,466413.292,0.07553559087767796,0.07905362424721095,11,pdisp,32,78,1800,14021,506450,468195,0.5,0.3,100
queue,625,false,466413.292,0.08135095044500604,0.08484685356397254,11,pdisp,32,78,1800,3910,509656,468195,0.7,0.3,25
queue,625,false,466413.292,0.09971329734968301,0.1031393228741027,11,pdisp,32,78,1800,7984,520051,468195,0.7,0.3,50
queue,625,false,466413.292,0.07450492798772847,0.07802688352711873,11,pdisp,32,78,1800,10997,505886,468195,0.7,0.3,75
queue,625,false,466413.292,0.07294911065921902,0.07647698683462793,11,pdisp,32,78,1800,13831,505037,468195,0.7,0.3,100
queue,625,false,466413.292,0.07729191547730256,0.08080326518385378,11,pdisp,32,78,1800,4017,507414,468195,0.1,0.5,25
queue,625,false,466413.292,0.07301518790353077,0.07654281262312573,11,pdisp,32,78,1800,6592,505073,468195,0.1,0.5,50
queue,625,false,466413.292,0.058219246969654304,0.061803177387365245,11,pdisp,32,78,1800,9037,497138,468195,0.1,0.5,75
queue,625,false,466413.292,0.056573928357691664,0.06016412000701227,11,pdisp,32,78,1800,12462,496271,468195,0.1,0.5,100
queue,625,false,466413.292,0.04141099584170214,0.04505888976927688,11,pdisp,32,78,1800,3913,488421,468195,0.3,0.5,25
queue,625,false,466413.292,0.06884680556549963,0.07239029299221177,11,pdisp,32,78,1800,7322,502812,468195,0.3,0.5,50
queue,625,false,466413.292,0.055731019627774145,0.05932441895173323,11,pdisp,32,78,1800,11360,495828,468195,0.3,0.5,75
queue,625,false,466413.292,0.07161822122372416,0.07515116207593298,11,pdisp,32,78,1800,14478,504313,468195,0.3,0.5,100
queue,625,false,466413.292,0.06385152630621299,0.067414023182019,11,pdisp,32,78,1800,4153,500129,468195,0.5,0.5,25
queue,625,false,466413.292,0.06967016852224608,0.07321052265542255,11,pdisp,32,78,1800,7602,503257,468195,0.5,0.5,50
queue,625,false,466413.292,0.07598441669166522,0.07950074206230162,11,pdisp,32,78,1800,11144,506696,468195,0.5,0.5,75
queue,625,false,466413.292,0.08499548551259953,0.08847751941620444,11,pdisp,32,78,1800,14403,511686,468195,0.5,0.5,100
queue,625,false,466413.292,0.08398223509156362,0.08746812490217558,11,pdisp,32,78,1800,3965,511120,468195,0.7,0.5,25
queue,625,false,466413.292,0.06793663812581995,0.0714835891790309,11,pdisp,32,78,1800,7850,502321,468195,0.7,0.5,50
queue,625,false,466413.292,0.0677324869427392,0.07128021488975746,11,pdisp,32,78,1800,11630,502211,468195,0.7,0.5,75
queue,625,false,466413.292,0.06764337476078484,0.07119144182267508,11,pdisp,32,78,1800,14260,502163,468195,0.7,0.5,100
queue,625,false,466413.292,0.09596016157808963,0.09940046959597751,11,pdisp,32,78,1800,4021,517892,468195,0.1,0.7,25
queue,625,false,466413.292,0.05498007807296229,0.058576335092060665,11,pdisp,32,78,1800,6844,495434,468195,0.1,0.7,50
queue,625,false,466413.292,0.08171130672189794,0.0852058385112659,11,pdisp,32,78,1800,10400,509856,468195,0.1,0.7,75
queue,625,false,466413.292,0.07393928125686097,0.07746338935513282,11,pdisp,32,78,1800,13403,505577,468195,0.1,0.7,100
queue,625,false,466413.292,0.06355194022029366,0.06711557716578424,11,pdisp,32,78,1800,3774,499969,468195,0.3,0.7,25
queue,625,false,466413.292,0.08203718553751983,0.08553047720067365,11,pdisp,32,78,1800,8141,510037,468195,0.3,0.7,50
queue,625,false,466413.292,0.07180595343120248,0.07533817987173257,11,pdisp,32,78,1800,12224,504415,468195,0.3,0.7,75
queue,625,false,466413.292,0.05458125094653945,0.05817902569539095,11,pdisp,32,78,1800,14747,495225,468195,0.3,0.7,100
queue,625,false,466413.292,0.06923369004474962,0.07277570518924655,11,pdisp,32,78,1800,4201,503021,468195,0.5,0.7,25
queue,625,false,466413.292,0.053191317255074845,0.056794381372624325,11,pdisp,32,78,1800,7542,494498,468195,0.5,0.7,50
queue,625,false,466413.292,0.05477784417598036,0.058374870792686835,11,pdisp,32,78,1800,11900,495328,468195,0.5,0.7,75
queue,625,false,466413.292,0.06067743495191989,0.06425201077764778,11,pdisp,32,78,1800,14890,498439,468195,0.5,0.7,100
queue,625,false,466413.292,0.0710287642883929,0.07456394830880585,11,pdisp,32,78,1800,4899,503993,468195,0.7,0.7,25
queue,625,false,466413.292,0.08292542470486611,0.08641533618918339,11,pdisp,32,78,1800,8322,510531,468195,0.7,0.7,50
queue,625,false,466413.292,0.07244404293508624,0.07597384113701107,11,pdisp,32,78,1800,10887,504762,468195,0.7,0.7,75
queue,625,false,466413.292,0.06222960197410588,0.06579827105499292,11,pdisp,32,78,1800,14922,499264,468195,0.7,0.7,100
queue,625,false,461040.141,0.058059634215738065,0.05965636389965917,12,pdisp,32,78,1800,4043,490289,461823,0.1,0.1,25
queue,625,false,461040.141,0.06257193255238516,0.06416101321630613,12,pdisp,32,78,1800,7894,492649,461823,0.1,0.1,50
queue,625,false,461040.141,0.055640416904380686,0.05724124752317328,12,pdisp,32,78,1800,10972,489033,461823,0.1,0.1,75
queue,625,false,461040.141,0.04721595844104401,0.048831069775886145,12,pdisp,32,78,1800,14039,484709,461823,0.1,0.1,100
queue,625,false,461040.141,0.06873250683594538,0.0703111444058172,12,pdisp,32,78,1800,4442,495908,461823,0.3,0.1,25
queue,625,false,461040.141,0.0762856451377402,0.0778514790094467,12,pdisp,32,78,1800,8384,499963,461823,0.3,0.1,50
queue,625,false,461040.141,0.059638127351805695,0.06123218125397058,12,pdisp,32,78,1800,10933,491112,461823,0.3,0.1,75
queue,625,false,461040.141,0.05490603761769599,0.056508113119125424,12,pdisp,32,78,1800,14875,488653,461823,0.3,0.1,100
queue,625,false,461040.141,0.08597864486952392,0.08752804765815958,12,pdisp,32,78,1800,3946,505265,461823,0.5,0.1,25
queue,625,false,461040.141,0.05990420375734604,0.06149780662024097,12,pdisp,32,78,1800,7267,491251,461823,0.5,0.1,50
queue,625,false,461040.141,0.07357100730594707,0.07514144289445493,12,pdisp,32,78,1800,10886,498498,461823,0.5,0.1,75
queue,625,false,461040.141,0.06435339666563342,0.06593945748165976,12,pdisp,32,78,1800,13046,493587,461823,0.5,0.1,100
queue,625,false,461040.141,0.06378816474723742,0.06537518371583391,12,pdisp,32,78,1800,3742,493289,461823,0.7,0.1,25
queue,625,false,461040.141,0.058370764867438335,0.059966967138409336,12,pdisp,32,78,1800,6644,490451,461823,0.7,0.1,50
queue,625,false,461040.141,0.05716158114580398,0.058759833163884015,12,pdisp,32,78,1800,10034,489822,461823,0.7,0.1,75
queue,625,false,461040.141,0.05885433755245026,0.06044972009545488,12,pdisp,32,78,1800,13362,490703,461823,0.7,0.1,100
queue,625,false,461040.141,0.06315953894652283,0.0647476235297936,12,pdisp,32,78,1800,4156,492958,461823,0.1,0.3,25
queue,625,false,461040.141,0.056028403586014054,0.057628576509400405,12,pdisp,32,78,1800,7279,489234,461823,0.1,0.3,50
queue,625,false,461040.141,0.052005714778367594,0.053612706760435,12,pdisp,32,78,1800,10749,487158,461823,0.1,0.3,75
queue,625,false,461040.141,0.0590365078912302,0.06063158162828699,12,pdisp,32,78,1800,13211,490798,461823,0.1,0.3,100
queue,625,false,461040.141,0.08465435431507094,0.08620600197409886,12,pdisp,32,78,1800,3797,504534,461823,0.3,0.3,25
queue,625,false,461040.141,0.061941671846245716,0.06353182089624998,12,pdisp,32,78,1800,7218,492318,461823,0.3,0.3,50
queue,625,false,461040.141,0.049349831308139,0.05096132540958465,12,pdisp,32,78,1800,11080,485797,461823,0.3,0.3,75
queue,625,false,461040.141,0.06208836401669392,0.06367826440154753,12,pdisp,32,78,1800,14208,492395,461823,0.3,0.3,100
queue,625,false,461040.141,0.0815231875007458,0.08308014295544675,12,pdisp,32,78,1800,3615,502814,461823,0.5,0.3,25
queue,625,false,461040.141,0.04613951528620586,0.047756451353059504,12,pdisp,32,78,1800,7531,484162,461823,0.5,0.3,50
queue,625,false,461040.141,0.07381811399612138,0.07538813070186169,12,pdisp,32,78,1800,10355,498631,461823,0.5,0.3,75
queue,625,false,461040.141,0.06307020942928845,0.06465844543944038,12,pdisp,32,78,1800,14302,492911,461823,0.5,0.3,100
queue,625,false,461040.141,0.07548125430406304,0.07704845173844108,12,pdisp,32,78,1800,3398,499528,461823,0.7,0.3,25
queue,625,false,461040.141,0.062029311647480316,0.06361931213492455,12,pdisp,32,78,1800,6738,492364,461823,0.7,0.3,50
queue,625,false,461040.141,0.05822098688141476,0.059817443048454946,12,pdisp,32,78,1800,9462,490373,461823,0.7,0.3,75
queue,625,false,461040.141,0.0674274152184712,0.06900826511366802,12,pdisp,32,78,1800,13342,495214,461823,0.7,0.3,100
queue,625,false,461040.141,0.058286280579192384,0.059882626063657324,12,pdisp,32,78,1800,3944,490407,461823,0.1,0.5,25
queue,625,false,461040.141,0.06062128528596942,0.062213672588512396,12,pdisp,32,78,1800,7462,491626,461823,0.1,0.5,50
queue,625,false,461040.141,0.06248058773733711,0.06406982324437019,12,pdisp,32,78,1800,11961,492601,461823,0.1,0.5,75
queue,625,false,461040.141,0.06112927227928082,0.06272079846795638,12,pdisp,32,78,1800,13997,491892,461823,0.1,0.5,100
queue,625,false,461040.141,0.05279512023036976,0.054400774052226986,12,pdisp,32,78,1800,3968,487564,461823,0.3,0.5,25
queue,625,false,461040.141,0.06123805516425483,0.0628293969496838,12,pdisp,32,78,1800,7599,491949,461823,0.3,0.5,50
queue,625,false,461040.141,0.053924440638661385,0.0555281800936605,12,pdisp,32,78,1800,10206,488146,461823,0.3,0.5,75
queue,625,false,461040.141,0.058464831804281345,0.060060874617736994,12,pdisp,32,78,1800,14887,490500,461823,0.3,0.5,100
queue,625,false,461040.141,0.0738255437343949,0.07539554784561853,12,pdisp,32,78,1800,3816,498635,461823,0.5,0.5,25
queue,625,false,461040.141,0.059865928656782655,0.061459596401692886,12,pdisp,32,78,1800,7332,491231,461823,0.5,0.5,50
queue,625,false,461040.141,0.03810521580111556,0.03973577120624512,12,pdisp,32,78,1800,11223,480118,461823,0.5,0.5,75
queue,625,false,461040.141,0.057898226252282206,0.059495229546822244,12,pdisp,32,78,1800,14013,490205,461823,0.5,0.5,100
queue,625,false,461040.141,0.09002007846166275,0.0915626304164064,12,pdisp,32,78,1800,4051,507509,461823,0.7,0.5,25
queue,625,false,461040.141,0.06889022403587154,0.07046859425152018,12,pdisp,32,78,1800,6479,495992,461823,0.7,0.5,50
queue,625,false,461040.141,0.07090018408055285,0.07247514711355657,12,pdisp,32,78,1800,10450,497065,461823,0.7,0.5,75
queue,625,false,461040.141,0.053230091761174936,0.05483500824128514,12,pdisp,32,78,1800,13265,487788,461823,0.7,0.5,100
queue,625,false,461040.141,0.0846960799275404,0.0862476568554197,12,pdisp,32,78,1800,3929,504557,461823,0.1,0.7,25
